date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
23:14:26	142/142	---M--	200	added ('OK')	application/javascript	etag:%22612358cdc24dbf465c09e7d279bfdcb4%22	https://igenius.ai/path---people-a0e39f21c11f6a62c5ab.js	F:/Downloads/igenius/igenius.ai/path---people-a0e39f21c11f6a62c5ab.js	(from https://igenius.ai/people/)
23:14:27	278557/278557	---MCZ	200	added ('OK')	text/html	date:Fri,%2028%20Feb%202020%2014:38:07%20GMT	https://igenius.ai/people/igenius.ai	F:/Downloads/igenius/igenius.ai/people/igenius.html	(from https://igenius.ai/people/)
23:14:27	540035/540035	---M--	200	added ('OK')	image/png	etag:%226414978b23569f7dfa5bdd9ebbe4834e%22	https://igenius.ai/static/cozzolino.6414978b.png	F:/Downloads/igenius/igenius.ai/static/cozzolino.6414978b.png	(from https://igenius.ai/people/)
23:14:27	339/339	---M--	200	added ('OK')	image/svg+xml	etag:%229e17b514189b5bba37de61b8cadffdaa%22	https://igenius.ai/video/play.svg	F:/Downloads/igenius/igenius.ai/video/play.svg	(from https://igenius.ai/people/)
23:14:28	1083/1083	---MCZ	200	added ('OK')	image/svg+xml	date:Fri,%2028%20Feb%202020%2014:38:07%20GMT	https://igenius.ai/benefits/icons-benefits-mac.svg	F:/Downloads/igenius/igenius.ai/benefits/icons-benefits-mac.svg	(from https://igenius.ai/people/)
23:14:28	1271/1271	---MCZ	200	added ('OK')	image/svg+xml	date:Fri,%2028%20Feb%202020%2014:38:07%20GMT	https://igenius.ai/benefits/icons-benefits-smart.svg	F:/Downloads/igenius/igenius.ai/benefits/icons-benefits-smart.svg	(from https://igenius.ai/people/)
23:14:28	1278/1278	---MCZ	200	added ('OK')	image/svg+xml	date:Fri,%2028%20Feb%202020%2014:38:07%20GMT	https://igenius.ai/benefits/icons-benefits-learning.svg	F:/Downloads/igenius/igenius.ai/benefits/icons-benefits-learning.svg	(from https://igenius.ai/people/)
23:14:28	1112/1112	---MCZ	200	added ('OK')	image/svg+xml	date:Fri,%2028%20Feb%202020%2014:38:07%20GMT	https://igenius.ai/benefits/icons-benefits-vouchers.svg	F:/Downloads/igenius/igenius.ai/benefits/icons-benefits-vouchers.svg	(from https://igenius.ai/people/)
23:14:28	1356/1356	---MCZ	200	added ('OK')	image/svg+xml	date:Fri,%2028%20Feb%202020%2014:38:07%20GMT	https://igenius.ai/benefits/icons-benefits-stocks.svg	F:/Downloads/igenius/igenius.ai/benefits/icons-benefits-stocks.svg	(from https://igenius.ai/people/)
23:14:29	1395/1395	---MCZ	200	added ('OK')	image/svg+xml	date:Fri,%2028%20Feb%202020%2014:38:07%20GMT	https://igenius.ai/benefits/icons-benefits-international.svg	F:/Downloads/igenius/igenius.ai/benefits/icons-benefits-international.svg	(from https://igenius.ai/people/)
23:14:29	589/589	---M--	200	added ('OK')	image/svg+xml	etag:%22041fb607e1cc2502fc39a094e96f407b%22	https://igenius.ai/carousel/arrow-sx.svg	F:/Downloads/igenius/igenius.ai/carousel/arrow-sx.svg	(from https://igenius.ai/people/)
23:14:29	594/594	---M--	200	added ('OK')	image/svg+xml	etag:%225779627e6a5f5ee36d83a9a7d6014711%22	https://igenius.ai/carousel/arrow.svg	F:/Downloads/igenius/igenius.ai/carousel/arrow.svg	(from https://igenius.ai/people/)
23:14:30	886717/886717	---M--	200	added ('OK')	image/png	etag:%22292e7b0731255521dfeee37314d30dc9%22	https://igenius.ai/static/backend-team.292e7b07.png	F:/Downloads/igenius/igenius.ai/static/backend-team.292e7b07.png	(from https://igenius.ai/people/)
23:14:32	796/796	---M--	200	added ('OK')	image/svg+xml	etag:%22c9dd0c29ad8230c0908ee477ddaa7610%22	https://igenius.ai/offices/milan.svg	F:/Downloads/igenius/igenius.ai/offices/milan.svg	(from https://igenius.ai/people/)
23:14:32	764099/764099	---M--	200	added ('OK')	image/png	etag:%228efebc515e6a842ae0fb2f733265b7b1%22	https://igenius.ai/static/product-team.8efebc51.png	F:/Downloads/igenius/igenius.ai/static/product-team.8efebc51.png	(from https://igenius.ai/people/)
23:14:32	2000933/2000933	---M--	200	added ('OK')	image/png	etag:%2272d9fa58417b88344cb8f2203693959c%22	https://igenius.ai/static/frontend-team.72d9fa58.png	F:/Downloads/igenius/igenius.ai/static/frontend-team.72d9fa58.png	(from https://igenius.ai/people/)
23:14:32	804/804	---M--	200	added ('OK')	image/svg+xml	etag:%221000267f9e0c092e486b419f476cee76%22	https://igenius.ai/offices/san-jose.svg	F:/Downloads/igenius/igenius.ai/offices/san-jose.svg	(from https://igenius.ai/people/)
23:14:32	862/862	---M--	200	added ('OK')	image/svg+xml	etag:%22c2a48ed87f0ef9e40b14e6e6a9776271%22	https://igenius.ai/offices/sierre.svg	F:/Downloads/igenius/igenius.ai/offices/sierre.svg	(from https://igenius.ai/people/)
23:14:33	842/842	---M--	200	added ('OK')	image/svg+xml	etag:%222e83b7fed24c843e471d4c2607712858%22	https://igenius.ai/offices/london.svg	F:/Downloads/igenius/igenius.ai/offices/london.svg	(from https://igenius.ai/people/)
